N,None,"QS,KS,5H,6H,TH,9D,JD,2C,5C,8C,TC,QC,AC","3S,6S,3H,4H,QH,2D,3D,6D,7D,TD,KD,AD,3C","2S,4S,9S,TS,JS,AS,7H,8H,9H,KH,6C,9C,JC","5S,7S,8S,2H,JH,AH,4D,5D,8D,QD,4C,7C,KC","N:1C:Minor suit opening -- 3+ !C; 11-21 HCP; 12-22 total points;E:2S:Aggressive weak jump overcall -- 6+ !S; 4-9 HCP ;S:3D:Free bid -- 5+ !D; 13+ total points ;W:3S:The Law: 9 trump -> 3 level -- 2+ !S; 4-20 total points ;N:4C:11-21 HCP; twice rebiddable !C; 12-22 total points;E:p:twice rebiddable !D; 13+ total points ;S:4D:;W:p:;N:p:;E:p:"
E,NS,"4S,6S,9S,JS,8H,9H,TH,2D,TD,KD,7C,JC,QC","3S,8S,4H,5H,7H,JD,QD,AD,2C,3C,6C,9C,TC","2S,5S,TS,QS,AS,2H,JH,QH,KH,AH,8D,8C,AC","7S,KS,3H,6H,3D,4D,5D,6D,7D,9D,4C,5C,KC","E:p:Major suit opening -- 5+ !S; 11-21 HCP; 12-22 total points;S:p:2- !S; 6-11 HCP; 12- total points ;W:p:6+ !S; 18+ HCP; strong rebiddable !H; biddable !S; 19-20 total points;N:1S:2 !S; 6-11 HCP; 12- total points ;E:p:;S:1N:;W:p:;N:4H:;E:p:;S:4S:;W:p:;N:p:;E:p:"
E,NS,"4S,6S,9S,JS,8H,9H,TH,2D,TD,KD,7C,JC,QC","3S,8S,4H,5H,7H,JD,QD,AD,2C,3C,6C,9C,TC","2S,5S,TS,QS,AS,2H,JH,QH,KH,AH,8D,8C,AC","7S,KS,3H,6H,3D,4D,5D,6D,7D,9D,4C,5C,KC","E:p:Strong two club -- 19+ HCP; 23+ total points; forcing to 2N;S:p:2D bid waiting -- 11- HCP; 12- total points; forcing to 2N ;W:p:Opener's suit -- 5+ !S; 19+ HCP; 23+ total points; forcing to 3S;N:2C:4+ !D; 11- HCP; 5-12 total points; forcing to 3N ;E:p:4+ !H; 5+ !S; 19+ HCP; 23+ total points; forcing to 3N;S:2D:4+ !D; 4- !H; 4- !S; 6-11 HCP; 12- total points; likely stop in !C ;W:p:5+ !S; 19+ HCP; twice rebiddable !H; 23+ total points;N:2S:;E:p:;S:3D:;W:p:;N:3H:;E:p:;S:3N:;W:p:;N:4H:;E:p:;S:p:;W:p:"
E,NS,"4S,6S,9S,JS,8H,9H,TH,2D,TD,KD,7C,JC,QC","3S,8S,4H,5H,7H,JD,QD,AD,2C,3C,6C,9C,TC","2S,5S,TS,QS,AS,2H,JH,QH,KH,AH,8D,8C,AC","7S,KS,3H,6H,3D,4D,5D,6D,7D,9D,4C,5C,KC","E:p:Two NT opener. Could have 5M. -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 20-2;S:p:2-5 !C; 2-5 !D; 2-4 !H; 2-4 !S; 5-10 HCP ;W:p:;N:2N:;E:p:;S:3N:;W:p:;N:p:;E:p:"
S,None,"4S,7S,2H,3H,9H,JH,3D,6D,JD,KD,3C,7C,KC","2S,8S,TS,AS,6H,7H,TH,KH,AD,2C,5C,8C,AC","5S,QS,KS,AH,2D,4D,5D,7D,TD,QD,4C,9C,TC","3S,6S,9S,JS,4H,5H,8H,QH,8D,9D,6C,JC,QC","S:p:Minor suit opening -- 3+ !C; 11-21 HCP; 12-22 total points;W:p:One over one -- 4+ !H; 11- HCP; 6-12 total points ;N:1C:Simple raise -- 3+ !C; 4 !H; 11+ HCP; 12-15 total points;E:p:;S:1H:;W:p:;N:2H:;E:p:;S:p:;W:p:"
S,None,"4S,7S,2H,3H,9H,JH,3D,6D,JD,KD,3C,7C,KC","2S,8S,TS,AS,6H,7H,TH,KH,AD,2C,5C,8C,AC","5S,QS,KS,AH,2D,4D,5D,7D,TD,QD,4C,9C,TC","3S,6S,9S,JS,4H,5H,8H,QH,8D,9D,6C,JC,QC","S:p:Minor suit opening -- 3+ !C; 11-21 HCP; 12-22 total points;W:p:One over one -- 4+ !H; 11- HCP; 6-12 total points ;N:1C:Simple raise -- 3+ !C; 4 !H; 11+ HCP; 12-15 total points;E:p:;S:1H:;W:p:;N:2H:;E:p:;S:p:;W:p:"
W,NS,"3S,7S,9S,2H,9H,TH,JH,QH,JD,5C,6C,7C,TC","2S,4S,6S,TS,JS,5H,6H,TD,KD,2C,9C,QC,AC","KS,AS,3H,2D,3D,4D,6D,7D,9D,3C,4C,JC,KC","5S,8S,QS,4H,7H,8H,KH,AH,5D,8D,QD,AD,8C","W:p:notrump opener. Could have 5M. -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 15-;N:1N:Minor Stayman -- 4+ !C; 4+ !D; 10+ total points ;E:p:2-3 !C; 2-3 !D; 2-5 !H; 2-5 !S; 15-16 HCP; 18- total points;S:2S!:Shortness in H -- 4+ !C; 4+ !D; 1- !H; 10+ HCP ;W:p:Stopper -- 2-3 !C; 2-3 !D; 2-5 !H; 2-5 !S; 15-16 HCP; 18- total point;N:2N:;E:p:;S:3H:;W:p:;N:3N:;E:p:;S:p:;W:p:"
W,NS,"3S,7S,9S,2H,9H,TH,JH,QH,JD,5C,6C,7C,TC","2S,4S,6S,TS,JS,5H,6H,TD,KD,2C,9C,QC,AC","KS,AS,3H,2D,3D,4D,6D,7D,9D,3C,4C,JC,KC","5S,8S,QS,4H,7H,8H,KH,AH,5D,8D,QD,AD,8C","W:p:Major suit opening -- 5+ !H; 11-21 HCP; 12-22 total points;N:1H:Forcing one notrump -- 3- !H; 3- !S; 6+ HCP; 12- total points ;E:p:New suit -- 3+ !D; 5+ !H; 11+ HCP; 12-18 total points;S:1N:Impossible spade -- 4+ !D; 2- !H; 3- !S; 11-12 total points; forcing to 3D ;W:p:3+ !D; 5+ !H; 11+ HCP; 12-13 total points;N:2D:4+ !D; 2- !H; 3- !S; 12+ HCP; 12- total points; partial stop in !C; partial stop in !S ;E:p:;S:2S:;W:p:;N:3D:;E:p:;S:3N:;W:p:;N:p:;E:p:"
N,EW,"5S,8S,AS,2H,3H,8H,AH,QD,AD,4C,TC,QC,KC","TS,JS,QS,KS,9H,TH,2D,8D,JD,KD,5C,6C,9C","2S,4S,6S,7S,9S,5H,6H,4D,7D,9D,2C,3C,7C","3S,4H,7H,JH,QH,KH,3D,5D,6D,TD,8C,JC,AC","N:2N:Two NT opener. Could have 5M. -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 20-2;E:p:Stayman -- 5+ total points ;S:3C:No major suits -- 2-5 !C; 2-5 !D; 2-3 !H; 2-3 !S; 20-21 HCP;W:p:5-11 HCP ;N:3D:;E:p:;S:3N:;W:p:;N:p:;E:p:"
N,EW,"5S,8S,AS,2H,3H,8H,AH,QD,AD,4C,TC,QC,KC","TS,JS,QS,KS,9H,TH,2D,8D,JD,KD,5C,6C,9C","2S,4S,6S,7S,9S,5H,6H,4D,7D,9D,2C,3C,7C","3S,4H,7H,JH,QH,KH,3D,5D,6D,TD,8C,JC,AC","N:2N:Two NT opener. Could have 5M. -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 20-2;E:p:Stayman -- 5+ total points ;S:3C:2-5 !C; 2-5 !D; 4-5 !H; 2-4 !S; 20-21 HCP;W:p:3- !H; 4 !S; 5-9 HCP ;N:3H:;E:p:;S:3N:;W:p:;N:p:;E:p:"
